R1223	R [0,0.37   Confidence: MEDIUM] 
R1224	NA [0.37,0.37   Confidence: NA] 
R1225	F [0.37,0   Confidence: MEDIUM] 
R1226	R [0,0.74   Confidence: HIGH] 
R1227	F [0.37,0   Confidence: MEDIUM] 
R1228	F [0.37,0   Confidence: MEDIUM] 
R1229	R [0,0.37   Confidence: MEDIUM] 
R123	F [0.37,0   Confidence: MEDIUM] 
R1230	F [0.37,0   Confidence: MEDIUM] 
R1231	F [0.37,0   Confidence: MEDIUM] 
R1232	F [0.37,0   Confidence: MEDIUM] 
R1233	F [1.24,0   Confidence: HIGH] 
R1234	NA [0.37,0.37   Confidence: NA] 
R1235	F [0.37,0   Confidence: MEDIUM] 
R1236	R [0,0.74   Confidence: HIGH] 
R1237	R [0,0.37   Confidence: MEDIUM] 
R1238	F [0.37,0   Confidence: MEDIUM] 
R1239	F [1.24,0   Confidence: HIGH] 
R124	F [0.74,0   Confidence: HIGH] 
R1240	F [0.87,0.37   Confidence: MEDIUM] 
R1241	NA [0.37,0.37   Confidence: NA] 
R1242	F [0.37,0   Confidence: MEDIUM] 
R1243	F [0.37,0   Confidence: MEDIUM] 
R1244	NA [0.37,0.37   Confidence: NA] 
R1245	F [0.74,0   Confidence: HIGH] 
R1246	F [0.37,0   Confidence: MEDIUM] 
R1247	R [0,0.37   Confidence: MEDIUM] 
R1248	F [0.37,0   Confidence: MEDIUM] 
R1249	F [0.37,0   Confidence: MEDIUM] 
R125	R [0,0.37   Confidence: MEDIUM] 
R1250	NA [0.37,0.37   Confidence: NA] 
R1251	F [0.37,0   Confidence: MEDIUM] 
R1252	R [0,0.37   Confidence: MEDIUM] 
R1253	F [0.37,0   Confidence: MEDIUM] 
R1254	NA [0,0   Confidence: NA] 
R1255	F [0.37,0   Confidence: MEDIUM] 
R1256	NA [0,0   Confidence: NA] 
R1257	F [0.37,0   Confidence: MEDIUM] 
R1258	R [0,0.74   Confidence: HIGH] 
R1259	NA [0,0   Confidence: NA] 
R126	NA [0.37,0.37   Confidence: NA] 
R1260	R [0,0.37   Confidence: MEDIUM] 
R1261	NA [0.37,0.37   Confidence: NA] 
R1262	R [0,0.37   Confidence: MEDIUM] 
R1263	F [0.74,0   Confidence: HIGH] 
R1264	NA [0.37,0.37   Confidence: NA] 
R1265	F [0.37,0   Confidence: MEDIUM] 
R1266	F [0.74,0   Confidence: HIGH] 
R1267	NA [0.37,0.37   Confidence: NA] 
R1268	NA [0.37,0.37   Confidence: NA] 
R1269	R [0,0.37   Confidence: MEDIUM] 
R127	F [0.74,0   Confidence: HIGH] 
R1270	F [0.37,0   Confidence: MEDIUM] 
R1271	R [0,0.74   Confidence: HIGH] 
R1272	R [0,0.74   Confidence: HIGH] 
R1273	NA [0.37,0.37   Confidence: NA] 
R1274	NA [0,0   Confidence: NA] 
R1275	NA [0.37,0.37   Confidence: NA] 
R1276	R [0,0.37   Confidence: MEDIUM] 
R1277	F [0.74,0   Confidence: HIGH] 
R1278	R [0,0.37   Confidence: MEDIUM] 
R1279	NA [0,0   Confidence: NA] 
R128	F [0.37,0   Confidence: MEDIUM] 
R1280	F [0.74,0   Confidence: HIGH] 
R1281	F [0.74,0   Confidence: HIGH] 
R1282	F [0.37,0   Confidence: MEDIUM] 
R1283	F [0.37,0   Confidence: MEDIUM] 
R1284	F [0.37,0   Confidence: MEDIUM] 
R1285	NA [0.37,0.37   Confidence: NA] 
R1286	NA [0.37,0.37   Confidence: NA] 
R1287	F [0.37,0   Confidence: MEDIUM] 
R1288	F [5.24,0   Confidence: HIGH] 
R1289	R [0,0.37   Confidence: MEDIUM] 
R129	F [0.74,0   Confidence: HIGH] 
R1290	F [0.74,0   Confidence: HIGH] 
R1291	R [0,0.37   Confidence: MEDIUM] 
R1292	F [0.37,0   Confidence: MEDIUM] 
R1293	F [0.37,0   Confidence: MEDIUM] 
R1294	F [0.74,0   Confidence: HIGH] 
R1295	F [0.37,0   Confidence: MEDIUM] 
R1296	F [5.24,0   Confidence: HIGH] 
R1297	F [5.24,0   Confidence: HIGH] 
R1298	F [5.24,0   Confidence: HIGH] 
R1299	F [0.74,0   Confidence: HIGH] 
R13	F [0.37,0   Confidence: MEDIUM] 
R130	F [0.74,0   Confidence: HIGH] 
R1300	F [0.74,0   Confidence: HIGH] 
R1301	F [5.24,0   Confidence: HIGH] 
R1302	F [5.24,0   Confidence: HIGH] 
R1303	NA [0.37,0.37   Confidence: NA] 
R1304	R [0,0.37   Confidence: MEDIUM] 
R1305	F [5.24,0   Confidence: HIGH] 
R1306	F [5.24,0   Confidence: HIGH] 
R1307	F [5.24,0   Confidence: HIGH] 
R1308	F [0.37,0   Confidence: MEDIUM] 
R1309	F [0.37,0   Confidence: MEDIUM] 
R131	F [0.37,0   Confidence: MEDIUM] 
R1310	R [0,0.37   Confidence: MEDIUM] 
R1311	NA [0.37,0.37   Confidence: NA] 
R1312	NA [0,0   Confidence: NA] 
R1313	F [0.74,0   Confidence: HIGH] 
R1314	NA [0,0   Confidence: NA] 
R1315	F [0.37,0   Confidence: MEDIUM] 
R1316	R [0,0.37   Confidence: MEDIUM] 
R1317	F [0.74,0   Confidence: HIGH] 
R1318	F [4.87,0.37   Confidence: HIGH] 
R1319	F [4.87,0   Confidence: HIGH] 
R132	F [0.74,0   Confidence: HIGH] 
R1320	F [0.37,0   Confidence: MEDIUM] 
R1321	NA [0,0   Confidence: NA] 
R1322	NA [0,0   Confidence: NA] 
R1323	NA [0.37,0.37   Confidence: NA] 
R1324	NA [0.37,0.37   Confidence: NA] 
R1325	F [0.37,0   Confidence: MEDIUM] 
R1326	F [0.74,0   Confidence: HIGH] 
R1327	F [0.74,0   Confidence: HIGH] 
R1328	F [0.37,0   Confidence: MEDIUM] 
R1329	F [0.74,0   Confidence: HIGH] 
R133	F [0.37,0   Confidence: MEDIUM] 
R1330	F [4.87,0.37   Confidence: HIGH] 
R1331	F [4.87,0   Confidence: HIGH] 
R1332	F [4.87,0.37   Confidence: HIGH] 
R1333	NA [0,0   Confidence: NA] 
R1334	F [4.87,0   Confidence: HIGH] 
R1335	F [4.87,0.37   Confidence: HIGH] 
R1336	F [4.5,0.37   Confidence: HIGH] 
R1337	F [4.5,0.37   Confidence: HIGH] 
R1338	F [4.5,0.37   Confidence: HIGH] 
R1339	F [4.5,0.74   Confidence: HIGH] 
R134	F [0.37,0   Confidence: MEDIUM] 
R1340	F [0.74,0   Confidence: HIGH] 
R1341	NA [0.37,0.37   Confidence: NA] 
R1342	NA [0.37,0.37   Confidence: NA] 
R1343	F [0.74,0   Confidence: HIGH] 
R1344	R [0,0.37   Confidence: MEDIUM] 
R1345	R [0,0.74   Confidence: HIGH] 
R1346	NA [0.37,0.37   Confidence: NA] 
R1347	NA [0,0   Confidence: NA] 
R1348	F [0.74,0   Confidence: HIGH] 
R1349	NA [0,0   Confidence: NA] 
R135	F [0.74,0   Confidence: HIGH] 
R1350	NA [0.37,0.37   Confidence: NA] 
R1351	R [0.37,0.5   Confidence: LOW] 
R1352	F [0.37,0   Confidence: MEDIUM] 
R1353	F [0.37,0   Confidence: MEDIUM] 
R1354	F [0.37,0   Confidence: MEDIUM] 
R1355	R [0,0.37   Confidence: MEDIUM] 
R1356	R [0,0.74   Confidence: HIGH] 
R1357	F [0.37,0   Confidence: MEDIUM] 
R1358	R [0,0.37   Confidence: MEDIUM] 
R1359	NA [0.37,0.37   Confidence: NA] 
R136	NA [0.37,0.37   Confidence: NA] 
R1360	R [0,0.37   Confidence: MEDIUM] 
R1361	R [0,0.37   Confidence: MEDIUM] 
R1362	NA [0,0   Confidence: NA] 
R1363	R [0,0.74   Confidence: HIGH] 
R1364	F [0.37,0   Confidence: MEDIUM] 
R1365	R [0,0.37   Confidence: MEDIUM] 
R1366	R [0,0.37   Confidence: MEDIUM] 
R1367	R [0,0.37   Confidence: MEDIUM] 
R1368	F [0.37,0   Confidence: MEDIUM] 
R1369	NA [0.37,0.37   Confidence: NA] 
R137	NA [0,0   Confidence: NA] 
R1370	R [0,0.37   Confidence: MEDIUM] 
R1371	R [0,0.74   Confidence: HIGH] 
R1372	R [0,0.37   Confidence: MEDIUM] 
R1373	R [0,0.37   Confidence: MEDIUM] 
R1374	F [0.37,0   Confidence: MEDIUM] 
R1375	F [0.37,0   Confidence: MEDIUM] 
R1376	R [0,0.37   Confidence: MEDIUM] 
R1377	NA [0,0   Confidence: NA] 
R1378	R [0,0.37   Confidence: MEDIUM] 
R1379	R [0,0.37   Confidence: MEDIUM] 
R138	F [0.37,0   Confidence: MEDIUM] 
R1380	R [0,0.74   Confidence: HIGH] 
R1381	R [0,0.37   Confidence: MEDIUM] 
R1382	R [0,0.74   Confidence: HIGH] 
R1383	R [0,0.74   Confidence: HIGH] 
R1384	R [0,0.37   Confidence: MEDIUM] 
R1385	R [0,0.37   Confidence: MEDIUM] 
R1386	R [0,0.37   Confidence: MEDIUM] 
R1387	NA [0.37,0.37   Confidence: NA] 
R1388	R [0,0.37   Confidence: MEDIUM] 
R1389	R [0,0.74   Confidence: HIGH] 
